decimalLatitude,decimalLongitude,UI,Birds,Visitors,Azimut_t,Temperature,Dureza,Wrack,Grain_size,Salinity,slope,Beach_width,Swash,S_total,pH,campaign,month,locality,site,zone
21.516808,-87.67204,0.4,1,11,17,33.6,293.3333333333333,20.3,0.36014185869409904,40,2.9,27.5,3.2899999999999996,2.6,7.366666666666666,3,Aug,El Cuyo,3,Dry
21.516388,-87.67353,0.4,0,2,17,,,417.8,0.45868733411403295,35,2.7,22.2,10.67,4.4,,1,Nov,El Cuyo,3,Dry
21.516388,-87.67353,0.4,0,2,17,,,417.8,0.490148825520545,35,7.2,22.2,10.67,4.4,,1,Nov,El Cuyo,3,Wet
21.516083,-87.67156,0.4,0,31,17,29.3,200,83.39999999999999,0.442410450438638,41.666666666666664,3.8,30,4.6899999999999995,3.7,7.83,2,Apr,El Cuyo,3,Wet
21.516808,-87.67204,0.4,1,11,17,34.266666666666666,240,20.3,0.508748299693924,38.333333333333336,4,27.5,3.2899999999999996,2.6,7.546666666666667,3,Aug,El Cuyo,3,Wet
21.514722,-87.66517,0.17,0,27,20,29.03333333333333,303.3333333333333,94.6,0.332466287637288,40,3.3,36.5,5.8100000000000005,3.4,7.52,2,Apr,El Cuyo,4,Dry
21.51491,-87.6636,0.17,0,5,20,32.5,240,34,0.37776432637316,28.333333333333332,2.7,34.9,2.8700000000000006,3,7.45,3,Aug,El Cuyo,4,Dry
21.514722,-87.66517,0.17,0,3,20,,,144.7,0.42519984327657395,37,4.8,23.9,8.54,4.3,,1,Nov,El Cuyo,4,Dry
21.514722,-87.66517,0.17,0,27,20,28.933333333333334,123.33333333333333,94.6,0.441547919814767,41.666666666666664,3.4,36.5,5.8100000000000005,3.4,7.783333333333333,2,Apr,El Cuyo,4,Wet
21.51491,-87.6636,0.17,0,5,20,32.833333333333336,173.33333333333334,34,0.297819345105897,37.666666666666664,5.5,34.9,2.8700000000000006,3,7.56,3,Aug,El Cuyo,4,Wet
21.514722,-87.66517,0.17,0,3,20,,,144.7,0.365345718056809,37,3.8,23.9,8.54,4.3,,1,Nov,El Cuyo,4,Wet
